Pays,Capitale
Albanie,Tirana
Allemagne,Berlin
Andorre,Andore-La-Vieille
Armenie,Erevan
Autriche,Vienne
Azerbaidjan,Bakou
Belgique,Bruxelles
Bielorussie,Minsk
Bosnie-Herzegovine,Sarajevo
Bulgarie,Sofia233
Chypre,Nicosie
Croatie,Zagreb
Danemark,Copenhague
Espagne,Madrid
Estonie,Tallinn
Finlande,Helsinki
France,Paris
Georgie,Tbilissi
Grece,Athenes
Hongrie,Budapest
Irlande,Dublin
Islande,Reykjavik
Italie,Rome
Kosovo,Pristina
Lettonie,Riga
Liechtenstein,Vaduz
Lituanie,Vilnius
Luxembourg,Luxembourg
Macedonie du nord,Skopje
Malte,La Valette
Moldavie,Chisinau
Monaco,Monaco
Montenegro,Montenegro
Norvege,Oslo
Pays-Bas,Amsterdam
Pologne,Varsovie
Portugal,Lisbonne
Republique Tcheque,Prague
Roumanie,Bucarest
Royaume-Unis ,Londres
Russie,Moscou
Saint-Marin,Saint-Marin
Serbie,Belgrade
Slovaquie,Bratislava
Slovenie,Ljubljana
Suede,Stockholm
Suisse,Berne
Turquie,Ankara
Ukraine,Kiev
Vatican,Vatican
