Pays,Capitale,Superficie en km2,Monnaie
Albanie,Tirana,28748.0,Lek
Allemagne,Berlin,357121.0,Euro
Andorre,Andore-La-Vieille,468.0,Euro
Armenie,Erevan,29743.0, Dram
Autriche,Vienne,83879.0,Euro
Azerbaidjan,Bakou,86600.0,Manat
Belgique,Bruxelles,30528.0,Euro
Bielorussie,Minsk,207600.0,Rouble
Bosnie-Herzegovine,Sarajevo,51129.0, Mark
Bulgarie,Sofia233,110990.0,Euro
Chypre,Nicosie,9251.0,Euro
Croatie,Zagreb,87661.0,Kuna
Danemark,Copenhague,42895.0,Couronne danoise
Espagne,Madrid,505991.0,Euro
Estonie,Tallinn,45227.0,Euro
Finlande,Helsinki,338452.0,Euro
France,Paris,632834.0,Euro
Georgie,Tbilissi,69700.0,Lari
Grece,Athenes,131957.0,Euro
Hongrie,Budapest,93024.0,Forint
Irlande,Dublin,69797.0,Euro
Islande,Reykjavik,103000.0, Couronne islandaise
Italie,Rome,301336.0,Euro
Kosovo,Pristina,10877.0,Euro
Lettonie,Riga,64562.0,Euro
Liechtenstein,Vaduz,160.0,Franc suisse
Lituanie,Vilnius,65300.0,Euro
Luxembourg,Luxembourg,2586.0,Euro
Macedonie du nord,Skopje,25713.0,Denar macedonien
Malte,La Valette,316.0,Euro
Moldavie,Chisinau,34843.0,Leu moldave
Monaco,Monaco,2.02,Euro
Montenegro,Montenegro,14026.0,Euro
Norvege,Oslo,323802.0,Couronne norvegienne
Pays-Bas,Amsterdam,41540.0,Euro
Pologne,Varsovie,312679.0,Zloty
Portugal,Lisbonne,92212.0,Euro
Republique Tcheque,Prague,78866.0,Couronne tcheque
Roumanie,Bucarest,238391.0,Leu roumain
Royaume-Unis ,Londres,248528.0,Livre sterling
Russie,Moscou,17095000.0,Rouble russe
Saint-Marin,Saint-Marin,61.2,Euro
Serbie,Belgrade,77484.0,Dinar serbe
Slovaquie,Bratislava,49036.0,Euro
Slovenie,Ljubljana,20273.0,Euro
Suede,Stockholm,438576.0,Couronne suedoise
Suisse,Berne,41290.0,Franc suisse
Turquie,Ankara,783562.0, Livre turque
Ukraine,Kiev,603700.0,Hryvnia
Vatican,Vatican,0.44,Vatu
